Source,Target,Weight,Type
1,2,0.005514630231696778,Undirected
1,3,0.005685208326297184,Undirected
1,4,0.0004172074911922863,Undirected
1,5,0.015256501491941021,Undirected
1,6,0.0031896298753492647,Undirected
1,7,0.012079473094476784,Undirected
1,8,0.0012865433045001643,Undirected
1,9,0.004015843327098691,Undirected
1,10,0.0008036691654311408,Undirected
1,11,0.025777283160603744,Undirected
1,12,0.001349660476036497,Undirected
1,13,0.004470421434875074,Undirected
1,14,0.00187064559367221,Undirected
1,15,0.09010791101400924,Undirected
1,16,0.0018167468318615698,Undirected
1,17,0.001916547196861088,Undirected
1,18,0.0006945702723923416,Undirected
1,19,0.0083262428588793,Undirected
1,20,0.0007082589148241671,Undirected
1,21,0.0014789936680583587,Undirected
1,22,0.003429630773984242,Undirected
1,23,0.004208636989586718,Undirected
1,24,0.0003262034577566522,Undirected
1,25,0.003080992764335175,Undirected
1,26,0.0008404669260700389,Undirected
1,27,0.05951821570654387,Undirected
1,28,0.007075249205999811,Undirected
1,29,0.007280975872844656,Undirected
1,30,0.0032553117159462635,Undirected
1,31,0.000547512842396818,Undirected
1,32,0.0002899017555161862,Undirected
1,33,0.015493252938236574,Undirected
1,34,0.005371660859465738,Undirected
1,35,0.0023959417703531124,Undirected
1,36,0.03337697419664905,Undirected
1,37,0.0003651937186680389,Undirected
1,38,0.0016402222668541206,Undirected
1,39,0.0069139853349851005,Undirected
1,40,0.0011075312122432541,Undirected
1,41,0.0035707668727156354,Undirected
1,42,0.0007586869657579282,Undirected
1,43,0.0028351559335763467,Undirected
1,44,0.0006920532036999527,Undirected
1,45,0.0017902986082961763,Undirected
1,46,0.0005748778384593274,Undirected
1,47,0.0022159071687134204,Undirected
1,48,0.0004567445951889569,Undirected
1,49,0.043016598426802125,Undirected
1,50,0.0068560734943858455,Undirected
1,51,0.00010214156821354398,Undirected
1,52,0.005175613327204317,Undirected
1,53,0.002559159230887346,Undirected
1,54,0.011005323505323506,Undirected
1,55,0.0035683797165784533,Undirected
1,56,0.0016257101786569922,Undirected
1,57,0.004930662557781202,Undirected
1,58,0.001954296881696467,Undirected
1,59,0.021936745334796927,Undirected
1,60,0.00025737817433081676,Undirected
1,61,0.0024196039400075507,Undirected
1,62,0.0020764333396255555,Undirected
1,63,0.0017532099211055535,Undirected
1,64,0.0047368874343295155,Undirected
1,65,0.003928663737399845,Undirected
1,66,0.003759852365430055,Undirected
1,67,0.0003450477028449183,Undirected
1,68,0.0013805719019103664,Undirected
1,69,0.0007426597582037997,Undirected
1,70,0.01839378238341969,Undirected
1,71,0.0005009414244010295,Undirected
1,72,0.0007774437649010055,Undirected
1,73,0.00012097331674270704,Undirected
1,74,0.0015735777278229294,Undirected
1,75,0.000328765227021041,Undirected
1,76,0.005781547516011771,Undirected
1,77,0.0006408147006356189,Undirected
1,78,0.022567850771602265,Undirected
1,79,0.0022881311861880083,Undirected
1,80,0.0009022295480176976,Undirected
1,81,0.016694432875190894,Undirected
1,82,0.0017206020369147346,Undirected
1,83,0.0013214173940258025,Undirected
1,84,0.0001392272885485555,Undirected
1,85,0.01686566644620044,Undirected
1,86,0.0025769605794678926,Undirected
1,87,0.0009231037185404511,Undirected
1,88,0.0012371062168943408,Undirected
1,89,0.0002792662279859669,Undirected
1,90,0.004768642247026149,Undirected
1,91,0.0009261524481878866,Undirected
1,92,0.03382630585273757,Undirected
1,93,0.002168021680216802,Undirected
1,94,0.0021876476662174697,Undirected
1,95,0.0010338724656982143,Undirected
1,96,0.0018752847979249185,Undirected
1,97,0.0002981880689691463,Undirected
1,98,0.00014037057832678272,Undirected
1,99,1.7558337576598247e-05,Undirected
1,100,0.007235051365352533,Undirected
2,3,0.012062820663455136,Undirected
2,4,0.01259789359978396,Undirected
2,5,0.004287671838394554,Undirected
2,6,0.010793487626793245,Undirected
2,7,0.0016241756078354168,Undirected
2,8,0.004865540140706161,Undirected
2,9,0.006381853052046822,Undirected
2,10,0.0011678150181011328,Undirected
2,11,0.02207620228975644,Undirected
2,12,0.004838627527546222,Undirected
2,13,0.0007733816110945108,Undirected
2,14,0.06339938558827228,Undirected
2,15,0.0012429521013096031,Undirected
2,16,0.0013837050523441057,Undirected
2,17,0.003053463367692507,Undirected
2,18,0.000537037037037037,Undirected
2,19,0.0018101067403149958,Undirected
