Source,Target,Weight,Type
1,2,0.012616514452499764,Undirected
1,3,0.014802872636670086,Undirected
1,4,0.0011401064099315936,Undirected
1,5,0.0481386645656884,Undirected
1,6,0.010563231503781637,Undirected
1,7,0.0478613968597726,Undirected
1,8,0.00512205754141238,Undirected
1,9,0.01622222222222222,Undirected
1,10,0.0033224494472131522,Undirected
1,11,0.10790193909043265,Undirected
1,12,0.005847597003106536,Undirected
1,13,0.02144493025192588,Undirected
1,14,0.009636542985051977,Undirected
1,15,0.4684933609640034,Undirected
1,16,0.009806285668354633,Undirected
1,17,0.010992815718860903,Undirected
1,18,0.00399444251476207,Undirected
1,19,0.04935158501440922,Undirected
1,20,0.004493942946463462,Undirected
1,21,0.009414533686378346,Undirected
1,22,0.02216011179876223,Undirected
1,23,0.02742764949077342,Undirected
1,24,0.002172788411795137,Undirected
1,25,0.02072647335915419,Undirected
1,26,0.005661564269238834,Undirected
1,27,0.4160280271513028,Undirected
1,28,0.05061867266591676,Undirected
1,29,0.05510865650138072,Undirected
1,30,0.024812394093439844,Undirected
1,31,0.0046026803844591855,Undirected
1,32,0.002439685551640011,Undirected
1,33,0.13137388926862612,Undirected
1,34,0.04574175824175824,Undirected
1,35,0.024969863957292924,Undirected
1,36,0.3577900159886303,Undirected
1,37,0.003978300180831827,Undirected
1,38,0.019459888800635424,Undirected
1,39,0.08223815213062526,Undirected
1,40,0.013524590163934426,Undirected
1,41,0.0455033268941833,Undirected
1,42,0.009780482503803522,Undirected
1,43,0.03697183098591549,Undirected
1,44,0.009046778464254192,Undirected
1,45,0.023576512455516015,Undirected
1,46,0.007673211464680659,Undirected
1,47,0.02973218338629142,Undirected
1,48,0.006133575647432985,Undirected
1,49,0.6102675343456254,Undirected
1,50,0.09906588003933137,Undirected
1,51,0.001488833746898263,Undirected
1,52,0.075527950310559,Undirected
1,53,0.038451679056652144,Undirected
1,54,0.16555441478439425,Undirected
1,55,0.054173146708138935,Undirected
1,56,0.025510204081632654,Undirected
1,57,0.07787993510005409,Undirected
1,58,0.03148301574150787,Undirected
1,59,0.35606904231625836,Undirected
1,60,0.004204035874439462,Undirected
1,61,0.03958450308815272,Undirected
1,62,0.033979219320415616,Undirected
1,63,0.02942024805307182,Undirected
1,64,0.08226144181872569,Undirected
1,65,0.06861269936804093,Undirected
1,66,0.0666870602630774,Undirected
1,67,0.006151953245155337,Undirected
1,68,0.02472952086553323,Undirected
1,69,0.013488080301129234,Undirected
1,70,0.33406524466750315,Undirected
1,71,0.009122365523749607,Undirected
1,72,0.014195583596214511,Undirected
1,73,0.002220812182741117,Undirected
1,74,0.029185375240538807,Undirected
1,75,0.006168831168831169,Undirected
1,76,0.1092217135382603,Undirected
1,77,0.012223323422530559,Undirected
1,78,0.43074380165289256,Undirected
1,79,0.044339939536446084,Undirected
1,80,0.017789941840574752,Undirected
1,81,0.33035714285714285,Undirected
1,82,0.03503184713375796,Undirected
1,83,0.027123483226266953,Undirected
1,84,0.002911208151382824,Undirected
1,85,0.3533916849015317,Undirected
1,86,0.054411764705882354,Undirected
1,87,0.0196078431372549,Undirected
1,88,0.026492537313432835,Undirected
1,89,0.006199147617202635,Undirected
1,90,0.10760741032715807,Undirected
1,91,0.021081941129673827,Undirected
1,92,0.7764847512038523,Undirected
1,93,0.04993958920660491,Undirected
1,94,0.05150391429748661,Undirected
1,95,0.02505307855626327,Undirected
1,96,0.04560954816709292,Undirected
1,97,0.007394519356241845,Undirected
1,98,0.0035087719298245615,Undirected
1,99,0.0004462293618920125,Undirected
1,100,0.1845051500223914,Undirected
2,3,0.02708486003224388,Undirected
2,4,0.029547757790727134,Undirected
2,5,0.011463462674807957,Undirected
2,6,0.030168589174800354,Undirected
2,7,0.005360043313481321,Undirected
2,8,0.016129032258064516,Undirected
2,9,0.021444444444444443,Undirected
2,10,0.0040098527811193215,Undirected
2,11,0.07669015314738252,Undirected
2,12,0.01736005360297253,Undirected
2,13,0.003053647026164203,Undirected
2,14,0.26777448971849155,Undirected
2,15,0.0052958784250518075,Undirected
2,16,0.006108833695040591,Undirected
2,17,0.01428200467411062,Undirected
2,18,0.0025182354984369573,Undirected
2,19,0.008735590778097983,Undirected
2,20,0.18327471668620554,Undirected
2,21,0.2825340786505835,Undirected
2,22,0.014174485925334398,Undirected
2,23,0.006655238479378845,Undirected
2,24,0.01727884117951371,Undirected
2,25,0.28943787291950174,Undirected
